Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
291,Ainsley Maitland-Niles,ENG,MF,West Brom,22,1997,15,14,1230,13.7,0,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches
292,Ainsley Maitland-Niles,ENG,DF,Arsenal,22,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
293,Josh Maja,NGA,FWMF,Fulham,21,1998,15,9,810,9,3,0,2,1,1,0,0,0.33,0,0.33,0.22,0.22,4.8,4,1.1,5.1,0.53,0.12,0.65,0.45,0.57,Matches
294,Sadio Mané,SEN,FW,Liverpool,28,1992,35,31,2810,31.2,11,7,11,0,0,3,0,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67,Matches
295,Javier Manquillo,ESP,DF,Newcastle Utd,26,1994,13,10,825,9.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0,0.03,0.03,0,0.03,Matches
296,Fernando Marçal,BRA,DF,Wolves,31,1989,13,7,623,6.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
297,Solly March,ENG,DF,Brighton,26,1994,21,19,1672,18.6,2,1,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,Matches
298,Pablo Marí,ESP,DF,Arsenal,26,1993,10,10,900,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Anthony Martial,FRA,FW,Manchester Utd,24,1995,22,17,1480,16.4,4,3,4,0,0,0,1,0.24,0.18,0.43,0.24,0.43,6.5,6.5,2,8.5,0.4,0.12,0.51,0.4,0.51,Matches
300,Martinelli,BRA,FW,Arsenal,19,2001,14,7,589,6.5,2,1,2,0,0,0,0,0.31,0.15,0.46,0.31,0.46,3.4,3.4,2.1,5.5,0.53,0.32,0.85,0.53,0.85,Matches
301,Emiliano Martínez,ARG,GK,Aston Villa,27,1992,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches
302,Arthur Masuaku,COD,DFFW,West Ham,26,1993,12,12,1006,11.2,0,2,0,0,0,2,0,0,0.18,0.18,0,0.18,0.3,0.3,1.9,2.2,0.03,0.17,0.19,0.03,0.19,Matches
303,Juan Mata,ESP,FWMF,Manchester Utd,32,1988,9,6,509,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0,0.35,1.1,0.3,0.8,1.2,0.19,0.15,0.34,0.06,0.21,Matches
304,Jean-Philippe Mateta,FRA,FW,Crystal Palace,23,1997,7,2,221,2.5,1,0,1,0,0,0,0,0.41,0,0.41,0.41,0.41,0.2,0.2,0,0.2,0.08,0.01,0.09,0.08,0.09,Matches
305,Nemanja Matić,SRB,MF,Manchester Utd,31,1988,20,12,1106,12.3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,Matches
306,Joël Matip,CMR,DF,Liverpool,28,1991,10,9,691,7.7,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.6,0.6,1,1.7,0.08,0.14,0.22,0.08,0.22,Matches
