,Date,Home,Away,Bet
111,2012-10-27,San Martin S.J.,Atl. Rafaela,0.0
112,2012-10-27,Estudiantes L.P.,All Boys,0.0
113,2012-10-27,Newells Old Boys,Arsenal Sarandi,1.79
114,2012-10-28,Velez Sarsfield,Racing Club,1.9
115,2012-10-28,River Plate,Boca Juniors,3.07
116,2012-10-28,Belgrano,Union de Santa Fe,1.78
117,2012-10-28,Lanus,Argentinos Jrs,1.89
118,2012-10-29,Colon Santa FE,Godoy Cruz,0.0
119,2012-02-11,Atl. Rafaela,Belgrano,0.0
120,2012-03-11,Argentinos Jrs,San Martin S.J.,3.12
121,2012-03-11,Union de Santa Fe,Estudiantes L.P.,3.04
122,2012-03-11,Boca Juniors,San Lorenzo,1.86
123,2012-03-11,Arsenal Sarandi,Velez Sarsfield,0.0
124,2012-04-11,Godoy Cruz,Newells Old Boys,2.98
125,2012-04-11,Quilmes,Colon Santa FE,3.01
126,2012-04-11,All Boys,River Plate,3.06
127,2012-05-11,Tigre,Racing Club,2.95
128,2012-06-11,Independiente,Lanus,0.0
129,2012-09-11,Belgrano,Argentinos Jrs,0.0
130,2012-09-11,Newells Old Boys,Quilmes,0.0
131,2012-10-11,Velez Sarsfield,Godoy Cruz,1.54
132,2012-10-11,San Lorenzo,All Boys,0.0
133,2012-10-11,River Plate,Union de Santa Fe,1.54
134,2012-10-11,Estudiantes L.P.,Atl. Rafaela,1.79
135,2012-11-11,Lanus,Tigre,1.73
136,2012-11-11,San Martin S.J.,Independiente,0.0
137,2012-11-11,Colon Santa FE,Boca Juniors,3.11
138,2012-11-11,Racing Club,Arsenal Sarandi,0.0
139,2012-11-13,Argentinos Jrs,Estudiantes L.P.,0.0
140,2012-11-13,Union de Santa Fe,San Lorenzo,3.03
141,2012-11-14,Quilmes,Velez Sarsfield,1.92
142,2012-11-14,All Boys,Colon Santa FE,3.06
143,2012-11-15,Atl. Rafaela,River Plate,3.1
144,2012-11-15,Godoy Cruz,Racing Club,0.0
145,2012-11-15,Lanus,San Martin S.J.,1.53
146,2012-11-16,Boca Juniors,Newells Old Boys,2.93
147,2012-11-16,Tigre,Arsenal Sarandi,0.0
148,2012-11-17,San Lorenzo,Atl. Rafaela,1.88
149,2012-11-17,Estudiantes L.P.,Independiente,1.97
150,2012-11-18,Arsenal Sarandi,Godoy Cruz,2.02
151,2012-11-18,Colon Santa FE,Union de Santa Fe,1.68
152,2012-11-18,San Martin S.J.,Tigre,0.0
153,2012-11-18,Newells Old Boys,All Boys,0.0
154,2012-11-18,Velez Sarsfield,Boca Juniors,0.0
155,2012-11-19,Belgrano,Lanus,0.0
156,2012-11-19,Racing Club,Quilmes,1.76
157,2012-11-20,River Plate,Argentinos Jrs,0.0
158,2012-11-24,Independiente,River Plate,3.04
159,2012-11-24,Union de Santa Fe,Newells Old Boys,0.0
160,2012-11-24,San Martin S.J.,Belgrano,2.99
161,2012-11-25,Argentinos Jrs,San Lorenzo,0.0
162,2012-11-25,All Boys,Velez Sarsfield,2.04
163,2012-11-25,Lanus,Estudiantes L.P.,0.0
164,2012-11-25,Tigre,Godoy Cruz,2.12
165,2012-11-25,Boca Juniors,Racing Club,0.0
166,2012-11-26,Quilmes,Arsenal Sarandi,0.0
167,2012-11-27,Atl. Rafaela,Colon Santa FE,0.0
168,2012-11-28,Independiente,Belgrano,0.0
169,2012-01-12,Godoy Cruz,Quilmes,0.0
170,2012-01-12,Colon Santa FE,Argentinos Jrs,1.83
171,2012-02-12,Racing Club,All Boys,1.82
172,2012-02-12,Belgrano,Tigre,1.71
173,2012-02-12,River Plate,Lanus,0.0
174,2012-02-12,Velez Sarsfield,Union de Santa Fe,1.3
175,2012-02-12,San Lorenzo,Independiente,1.99
