,Date,Home,Away,Bet
86,2012-09-30,Tigre,Newells Old Boys,D
87,2012-09-30,Union de Santa Fe,Independiente,D
88,2012-09-30,Velez Sarsfield,Colon Santa FE,H
89,2012-09-30,Boca Juniors,San Martin S.J.,H
90,2012-05-10,Lanus,Union de Santa Fe,H
91,2012-06-10,Argentinos Jrs,Tigre,H
92,2012-06-10,San Martin S.J.,All Boys,D
93,2012-06-10,San Lorenzo,Arsenal Sarandi,D
94,2012-06-10,Estudiantes L.P.,Quilmes,H
95,2012-07-10,Colon Santa FE,Racing Club,D
96,2012-07-10,Belgrano,Boca Juniors,D
97,2012-07-10,Independiente,Atl. Rafaela,D
98,2012-07-10,Newells Old Boys,Velez Sarsfield,D
99,2012-07-10,River Plate,Godoy Cruz,H
100,2012-10-19,Arsenal Sarandi,Colon Santa FE,D
101,2012-10-20,Argentinos Jrs,Independiente,D
102,2012-10-20,All Boys,Belgrano,D
103,2012-10-20,Union de Santa Fe,San Martin S.J.,D
104,2012-10-20,Godoy Cruz,San Lorenzo,H
105,2012-10-20,Tigre,Velez Sarsfield,A
106,2012-10-21,Racing Club,Newells Old Boys,D
107,2012-10-21,Quilmes,River Plate,A
108,2012-10-21,Atl. Rafaela,Lanus,D
109,2012-10-21,Boca Juniors,Estudiantes L.P.,H
110,2012-10-27,San Lorenzo,Quilmes,H
111,2012-10-27,San Martin S.J.,Atl. Rafaela,H
112,2012-10-27,Estudiantes L.P.,All Boys,H
113,2012-10-27,Newells Old Boys,Arsenal Sarandi,H
114,2012-10-28,Velez Sarsfield,Racing Club,H
115,2012-10-28,River Plate,Boca Juniors,D
116,2012-10-28,Belgrano,Union de Santa Fe,H
117,2012-10-28,Lanus,Argentinos Jrs,H
118,2012-10-29,Colon Santa FE,Godoy Cruz,H
119,2012-02-11,Atl. Rafaela,Belgrano,D
120,2012-03-11,Argentinos Jrs,San Martin S.J.,D
121,2012-03-11,Union de Santa Fe,Estudiantes L.P.,D
122,2012-03-11,Boca Juniors,San Lorenzo,H
123,2012-03-11,Arsenal Sarandi,Velez Sarsfield,D
124,2012-04-11,Godoy Cruz,Newells Old Boys,D
125,2012-04-11,Quilmes,Colon Santa FE,D
126,2012-04-11,All Boys,River Plate,D
127,2012-05-11,Tigre,Racing Club,D
128,2012-06-11,Independiente,Lanus,D
129,2012-09-11,Belgrano,Argentinos Jrs,H
130,2012-09-11,Newells Old Boys,Quilmes,H
131,2012-10-11,Velez Sarsfield,Godoy Cruz,H
132,2012-10-11,San Lorenzo,All Boys,D
133,2012-10-11,River Plate,Union de Santa Fe,H
134,2012-10-11,Estudiantes L.P.,Atl. Rafaela,H
135,2012-11-11,Lanus,Tigre,H
136,2012-11-11,San Martin S.J.,Independiente,H
137,2012-11-11,Colon Santa FE,Boca Juniors,D
138,2012-11-11,Racing Club,Arsenal Sarandi,H
139,2012-11-13,Argentinos Jrs,Estudiantes L.P.,D
140,2012-11-13,Union de Santa Fe,San Lorenzo,D
141,2012-11-14,Quilmes,Velez Sarsfield,A
142,2012-11-14,All Boys,Colon Santa FE,D
143,2012-11-15,Atl. Rafaela,River Plate,D
144,2012-11-15,Godoy Cruz,Racing Club,D
145,2012-11-15,Lanus,San Martin S.J.,H
146,2012-11-16,Boca Juniors,Newells Old Boys,D
147,2012-11-16,Tigre,Arsenal Sarandi,D
148,2012-11-17,San Lorenzo,Atl. Rafaela,H
149,2012-11-17,Estudiantes L.P.,Independiente,H
150,2012-11-18,Arsenal Sarandi,Godoy Cruz,H
151,2012-11-18,Colon Santa FE,Union de Santa Fe,H
152,2012-11-18,San Martin S.J.,Tigre,H
153,2012-11-18,Newells Old Boys,All Boys,H
154,2012-11-18,Velez Sarsfield,Boca Juniors,H
155,2012-11-19,Belgrano,Lanus,D
156,2012-11-19,Racing Club,Quilmes,H
157,2012-11-20,River Plate,Argentinos Jrs,H
158,2012-11-24,Independiente,River Plate,D
159,2012-11-24,Union de Santa Fe,Newells Old Boys,A
160,2012-11-24,San Martin S.J.,Belgrano,D
161,2012-11-25,Argentinos Jrs,San Lorenzo,D
162,2012-11-25,All Boys,Velez Sarsfield,A
163,2012-11-25,Lanus,Estudiantes L.P.,H
164,2012-11-25,Tigre,Godoy Cruz,H
165,2012-11-25,Boca Juniors,Racing Club,D
166,2012-11-26,Quilmes,Arsenal Sarandi,D
167,2012-11-27,Atl. Rafaela,Colon Santa FE,D
168,2012-11-28,Independiente,Belgrano,D
169,2012-01-12,Godoy Cruz,Quilmes,H
170,2012-01-12,Colon Santa FE,Argentinos Jrs,H
171,2012-02-12,Racing Club,All Boys,H
172,2012-02-12,Belgrano,Tigre,H
173,2012-02-12,River Plate,Lanus,D
174,2012-02-12,Velez Sarsfield,Union de Santa Fe,H
175,2012-02-12,San Lorenzo,Independiente,H
176,2012-02-12,Arsenal Sarandi,Boca Juniors,D
177,2012-03-12,Newells Old Boys,Atl. Rafaela,H
178,2012-03-12,Estudiantes L.P.,San Martin S.J.,H
179,2012-07-12,All Boys,Arsenal Sarandi,D
180,2012-08-12,Union de Santa Fe,Racing Club,A
181,2012-08-12,Argentinos Jrs,Newells Old Boys,D
182,2012-08-12,Boca Juniors,Godoy Cruz,H
183,2012-08-12,Atl. Rafaela,Velez Sarsfield,A
184,2012-08-12,Belgrano,Estudiantes L.P.,D
185,2012-09-12,Lanus,San Lorenzo,H
186,2012-09-12,Independiente,Colon Santa FE,D
187,2012-09-12,San Martin S.J.,River Plate,D
188,2013-03-02,Independiente,Tigre,H
189,2013-08-02,Union de Santa Fe,Arsenal Sarandi,D
190,2013-09-02,Argentinos Jrs,Velez Sarsfield,A
191,2013-09-02,All Boys,Godoy Cruz,D
192,2013-09-02,Estudiantes L.P.,Tigre,H
193,2013-09-02,Boca Juniors,Quilmes,H
194,2013-10-02,San Martin S.J.,San Lorenzo,D
195,2013-10-02,Atl. Rafaela,Racing Club,D
196,2013-10-02,Independiente,Newells Old Boys,D
197,2013-10-02,Belgrano,River Plate,D
198,2013-11-02,Lanus,Colon Santa FE,H
199,2013-02-13,Quilmes,Tigre,D
200,2013-02-16,Racing Club,Argentinos Jrs,H
201,2013-02-16,Godoy Cruz,Union de Santa Fe,H
202,2013-02-16,San Lorenzo,Belgrano,H
203,2013-02-16,Colon Santa FE,San Martin S.J.,H
204,2013-02-16,Velez Sarsfield,Independiente,H
205,2013-02-17,Tigre,Boca Juniors,D
206,2013-02-17,Quilmes,All Boys,D
207,2013-02-17,Newells Old Boys,Lanus,D
208,2013-02-17,River Plate,Estudiantes L.P.,H
209,2013-02-18,Arsenal Sarandi,Atl. Rafaela,H
210,2013-02-22,Argentinos Jrs,Arsenal Sarandi,D
211,2013-02-23,Estudiantes L.P.,San Lorenzo,D
212,2013-02-23,Union de Santa Fe,Quilmes,D
213,2013-02-23,All Boys,Boca Juniors,D
214,2013-02-23,Lanus,Velez Sarsfield,H
215,2013-02-24,Atl. Rafaela,Godoy Cruz,H
216,2013-02-24,Independiente,Racing Club,D
217,2013-02-24,Belgrano,Colon Santa FE,D
218,2013-02-24,River Plate,Tigre,H
219,2013-02-26,San Martin S.J.,Newells Old Boys,D
220,2013-01-03,Quilmes,Atl. Rafaela,H
221,2013-02-03,Newells Old Boys,Belgrano,H
222,2013-02-03,Colon Santa FE,Estudiantes L.P.,D
223,2013-02-03,Arsenal Sarandi,Independiente,D
224,2013-03-03,Godoy Cruz,Argentinos Jrs,H
225,2013-03-03,San Lorenzo,River Plate,D
226,2013-03-03,Tigre,All Boys,D
227,2013-03-03,Racing Club,Lanus,D
228,2013-03-03,Boca Juniors,Union de Santa Fe,H
229,2013-05-03,Velez Sarsfield,San Martin S.J.,H
230,2013-08-03,Belgrano,Velez Sarsfield,D
231,2013-09-03,Independiente,Godoy Cruz,H
232,2013-09-03,Union de Santa Fe,All Boys,D
233,2013-09-03,Estudiantes L.P.,Newells Old Boys,H
234,2013-09-03,San Martin S.J.,Racing Club,D
235,2013-10-03,San Lorenzo,Tigre,H
236,2013-10-03,River Plate,Colon Santa FE,H
237,2013-10-03,Atl. Rafaela,Boca Juniors,D
238,2013-11-03,Lanus,Arsenal Sarandi,H
239,2013-12-03,Argentinos Jrs,Quilmes,D
240,2013-03-16,Tigre,Union de Santa Fe,H
241,2013-03-16,Colon Santa FE,San Lorenzo,D
242,2013-03-16,Quilmes,Independiente,D
243,2013-03-17,Godoy Cruz,Lanus,D
244,2013-03-17,Newells Old Boys,River Plate,D
245,2013-03-17,Racing Club,Belgrano,H
246,2013-03-17,Velez Sarsfield,Estudiantes L.P.,H
247,2013-03-17,Boca Juniors,Argentinos Jrs,H
248,2013-03-18,Arsenal Sarandi,San Martin S.J.,H
249,2013-03-19,All Boys,Atl. Rafaela,D
250,2013-03-29,Colon Santa FE,Tigre,H
251,2013-03-30,Belgrano,Arsenal Sarandi,D
252,2013-03-30,Argentinos Jrs,All Boys,D
253,2013-03-30,River Plate,Velez Sarsfield,D
254,2013-03-30,Estudiantes L.P.,Racing Club,D
255,2013-03-31,Independiente,Boca Juniors,D
256,2013-03-31,San Martin S.J.,Godoy Cruz,D
257,2013-03-31,Atl. Rafaela,Union de Santa Fe,H
258,2013-03-31,San Lorenzo,Newells Old Boys,D
259,2013-01-04,Lanus,Quilmes,H
260,2013-06-04,All Boys,Independiente,D
261,2013-06-04,Tigre,Atl. Rafaela,D
262,2013-06-04,Velez Sarsfield,San Lorenzo,H
263,2013-06-04,Union de Santa Fe,Argentinos Jrs,D
264,2013-06-04,Godoy Cruz,Belgrano,D
265,2013-07-04,Quilmes,San Martin S.J.,H
266,2013-07-04,Racing Club,River Plate,D
267,2013-07-04,Newells Old Boys,Colon Santa FE,H
268,2013-08-04,Boca Juniors,Lanus,D
269,2013-09-04,Arsenal Sarandi,Estudiantes L.P.,D
270,2013-12-04,Independiente,Union de Santa Fe,H
271,2013-04-13,Argentinos Jrs,Atl. Rafaela,D
272,2013-04-13,San Martin S.J.,Boca Juniors,D
273,2013-04-13,San Lorenzo,Racing Club,D
274,2013-04-14,Lanus,All Boys,H
275,2013-04-14,Estudiantes L.P.,Godoy Cruz,H
276,2013-04-14,Colon Santa FE,Velez Sarsfield,D
277,2013-04-14,Newells Old Boys,Tigre,H
278,2013-04-15,River Plate,Arsenal Sarandi,H
279,2013-04-16,Belgrano,Quilmes,H
280,2013-04-19,Velez Sarsfield,Newells Old Boys,D
281,2013-04-20,Racing Club,Colon Santa FE,H
282,2013-04-20,All Boys,San Martin S.J.,H
283,2013-04-21,Quilmes,Estudiantes L.P.,D
284,2013-04-21,Atl. Rafaela,Independiente,D
285,2013-04-21,Arsenal Sarandi,San Lorenzo,D
286,2013-04-21,Boca Juniors,Belgrano,D
287,2013-04-22,Godoy Cruz,River Plate,D
288,2013-04-22,Union de Santa Fe,Lanus,A
289,2013-04-23,Tigre,Argentinos Jrs,D
290,2013-04-27,Estudiantes L.P.,Boca Juniors,H
291,2013-04-27,San Lorenzo,Godoy Cruz,H
292,2013-04-27,Colon Santa FE,Arsenal Sarandi,H
293,2013-04-28,San Martin S.J.,Union de Santa Fe,H
294,2013-04-28,Independiente,Argentinos Jrs,H
295,2013-04-28,Newells Old Boys,Racing Club,H
296,2013-04-29,River Plate,Quilmes,H
297,2013-04-29,Belgrano,All Boys,H
298,2013-04-30,Lanus,Atl. Rafaela,H
299,2013-03-05,Godoy Cruz,Colon Santa FE,D
300,2013-04-05,Quilmes,San Lorenzo,D
301,2013-04-05,Union de Santa Fe,Belgrano,D
302,2013-04-05,Argentinos Jrs,Lanus,A
303,2013-05-05,Racing Club,Velez Sarsfield,D
304,2013-05-05,Tigre,Independiente,D
305,2013-05-05,Boca Juniors,River Plate,D
306,2013-06-05,Atl. Rafaela,San Martin S.J.,H
307,2013-06-05,All Boys,Estudiantes L.P.,D
308,2013-07-05,Arsenal Sarandi,Newells Old Boys,D
309,2013-09-05,Velez Sarsfield,Tigre,H
310,2013-11-05,Belgrano,Atl. Rafaela,H
311,2013-11-05,San Lorenzo,Boca Juniors,H
312,2013-11-05,Newells Old Boys,Godoy Cruz,H
313,2013-11-05,Velez Sarsfield,Arsenal Sarandi,D
314,2013-12-05,Racing Club,Tigre,H
315,2013-12-05,Lanus,Independiente,H
316,2013-12-05,San Martin S.J.,Argentinos Jrs,H
317,2013-12-05,Colon Santa FE,Quilmes,H
318,2013-05-13,River Plate,All Boys,H
319,2013-05-14,Estudiantes L.P.,Union de Santa Fe,H
320,2013-05-18,Arsenal Sarandi,Racing Club,D
321,2013-05-18,Atl. Rafaela,Estudiantes L.P.,D
322,2013-05-18,Godoy Cruz,Velez Sarsfield,D
323,2013-05-18,Quilmes,Newells Old Boys,D
324,2013-05-19,Boca Juniors,Colon Santa FE,D
325,2013-05-19,Independiente,San Martin S.J.,H
326,2013-05-19,Union de Santa Fe,River Plate,A
327,2013-05-20,All Boys,San Lorenzo,D
328,2013-05-20,Argentinos Jrs,Belgrano,D
329,2013-05-21,Tigre,Lanus,A
330,2013-05-24,Colon Santa FE,All Boys,H
331,2013-05-25,Velez Sarsfield,Quilmes,H
332,2013-05-26,Belgrano,Independiente,D
333,2013-05-26,Racing Club,Godoy Cruz,H
334,2013-05-26,San Martin S.J.,Lanus,D
335,2013-05-26,River Plate,Atl. Rafaela,H
336,2013-05-27,Newells Old Boys,Boca Juniors,H
337,2013-05-27,Arsenal Sarandi,Tigre,H
338,2013-05-27,Estudiantes L.P.,Argentinos Jrs,H
339,2013-05-28,San Lorenzo,Union de Santa Fe,H
340,2013-01-06,Quilmes,Racing Club,H
341,2013-01-06,Independiente,Estudiantes L.P.,H
342,2013-01-06,Godoy Cruz,Arsenal Sarandi,H
343,2013-02-06,Atl. Rafaela,San Lorenzo,D
344,2013-02-06,Union de Santa Fe,Colon Santa FE,D
345,2013-02-06,Lanus,Belgrano,H
346,2013-02-06,Boca Juniors,Velez Sarsfield,D
347,2013-03-06,Argentinos Jrs,River Plate,A
348,2013-03-06,Tigre,San Martin S.J.,D
349,2013-04-06,All Boys,Newells Old Boys,A
350,2013-08-06,Belgrano,San Martin S.J.,D
351,2013-08-06,Arsenal Sarandi,Quilmes,D
352,2013-08-06,Godoy Cruz,Tigre,H
353,2013-09-06,River Plate,Independiente,H
354,2013-09-06,Colon Santa FE,Atl. Rafaela,D
355,2013-10-06,Racing Club,Boca Juniors,D
356,2013-10-06,Newells Old Boys,Union de Santa Fe,H
357,2013-11-06,San Lorenzo,Argentinos Jrs,H
358,2013-12-06,Velez Sarsfield,All Boys,H
359,2013-06-15,Tigre,Belgrano,D
360,2013-06-15,Argentinos Jrs,Colon Santa FE,H
361,2013-06-15,Independiente,San Lorenzo,D
362,2013-06-15,San Martin S.J.,Estudiantes L.P.,H
363,2013-06-16,Union de Santa Fe,Velez Sarsfield,A
364,2013-06-16,All Boys,Racing Club,D
365,2013-06-16,Atl. Rafaela,Newells Old Boys,A
366,2013-06-16,Boca Juniors,Arsenal Sarandi,H
367,2013-06-17,Lanus,River Plate,D
368,2013-06-18,Quilmes,Godoy Cruz,H
369,2013-06-19,Estudiantes L.P.,Lanus,D
370,2013-06-22,Racing Club,Union de Santa Fe,H
371,2013-06-22,Estudiantes L.P.,Belgrano,D
372,2013-06-22,Tigre,Quilmes,D
373,2013-06-23,Colon Santa FE,Independiente,H
374,2013-06-23,Newells Old Boys,Argentinos Jrs,H
375,2013-06-23,River Plate,San Martin S.J.,D
376,2013-06-23,Velez Sarsfield,Atl. Rafaela,H
377,2013-06-23,Arsenal Sarandi,All Boys,H
378,2013-06-23,San Lorenzo,Lanus,D
379,2013-06-24,Godoy Cruz,Boca Juniors,H
380,2013-06-29,Velez Sarsfield,Newells Old Boys,D
381,2013-02-08,Godoy Cruz,Argentinos Jrs,H
382,2013-03-08,Arsenal Sarandi,Estudiantes L.P.,D
383,2013-03-08,All Boys,Atl. Rafaela,H
384,2013-03-08,Tigre,Velez Sarsfield,D
385,2013-04-08,Colon Santa FE,Racing Club,D
386,2013-04-08,San Lorenzo,Olimpo Bahia Blanca,H
387,2013-04-08,Lanus,Belgrano,H
388,2013-04-08,Gimnasia L.P.,River Plate,D
389,2013-05-08,Rosario Central,Quilmes,H
390,2013-07-08,Argentinos Jrs,Colon Santa FE,D
391,2013-07-08,Belgrano,Boca Juniors,D
392,2013-08-08,Estudiantes L.P.,All Boys,H
393,2013-08-08,Atl. Rafaela,Lanus,A
394,2013-08-08,Quilmes,Godoy Cruz,D
395,2013-09-08,Velez Sarsfield,Arsenal Sarandi,H
396,2013-09-08,Olimpo Bahia Blanca,Tigre,D
397,2013-09-08,Racing Club,San Lorenzo,D
398,2013-10-08,River Plate,Rosario Central,H
399,2013-08-13,Boca Juniors,Newells Old Boys,H
400,2013-08-16,Arsenal Sarandi,Olimpo Bahia Blanca,H
401,2013-08-17,Colon Santa FE,Quilmes,H
402,2013-08-17,Gimnasia L.P.,Rosario Central,D
403,2013-08-18,San Lorenzo,Argentinos Jrs,H
404,2013-08-18,Newells Old Boys,Belgrano,H
405,2013-08-18,Tigre,Racing Club,D
406,2013-08-18,Boca Juniors,Atl. Rafaela,H
407,2013-08-19,Godoy Cruz,River Plate,D
408,2013-08-19,All Boys,Velez Sarsfield,D
409,2013-08-20,Lanus,Estudiantes L.P.,H
410,2013-08-23,Belgrano,Gimnasia L.P.,D
411,2013-08-23,Atl. Rafaela,Newells Old Boys,D
412,2013-08-24,Racing Club,Arsenal Sarandi,D
413,2013-08-24,Velez Sarsfield,Lanus,D
414,2013-08-24,Argentinos Jrs,Tigre,D
415,2013-08-24,Rosario Central,Godoy Cruz,H
416,2013-08-25,Olimpo Bahia Blanca,All Boys,D
417,2013-08-25,River Plate,Colon Santa FE,H
418,2013-08-26,Estudiantes L.P.,Boca Juniors,D
419,2013-08-27,Quilmes,San Lorenzo,D
420,2013-08-27,Newells Old Boys,Gimnasia L.P.,H
421,2013-08-31,Newells Old Boys,Estudiantes L.P.,H
422,2013-08-31,Tigre,Quilmes,D
423,2013-01-09,All Boys,Racing Club,D
424,2013-01-09,Gimnasia L.P.,Godoy Cruz,H
425,2013-01-09,Colon Santa FE,Rosario Central,D
426,2013-01-09,Boca Juniors,Velez Sarsfield,D
427,2013-02-09,San Lorenzo,River Plate,D
428,2013-02-09,Arsenal Sarandi,Argentinos Jrs,H
429,2013-02-09,Belgrano,Atl. Rafaela,H
430,2013-03-09,Lanus,Olimpo Bahia Blanca,H
431,2013-07-09,Velez Sarsfield,Newells Old Boys,D
432,2013-07-09,Estudiantes L.P.,Belgrano,H
433,2013-07-09,Godoy Cruz,Colon Santa FE,H
434,2013-07-09,Argentinos Jrs,All Boys,D
435,2013-07-09,Atl. Rafaela,Gimnasia L.P.,D
436,2013-08-09,Racing Club,Lanus,D
437,2013-08-09,Quilmes,Arsenal Sarandi,D
438,2013-08-09,Rosario Central,San Lorenzo,D
439,2013-08-09,River Plate,Tigre,H
440,2013-09-09,Olimpo Bahia Blanca,Boca Juniors,D
441,2013-09-13,Lanus,Argentinos Jrs,H
442,2013-09-14,Belgrano,Velez Sarsfield,D
443,2013-09-14,Newells Old Boys,Olimpo Bahia Blanca,H
444,2013-09-14,All Boys,Quilmes,H
445,2013-09-15,San Lorenzo,Godoy Cruz,H
446,2013-09-15,Atl. Rafaela,Estudiantes L.P.,D
447,2013-09-15,Tigre,Rosario Central,D
448,2013-09-15,Boca Juniors,Racing Club,H
449,2013-09-16,Arsenal Sarandi,River Plate,D
450,2013-09-17,Gimnasia L.P.,Colon Santa FE,H
451,2013-09-20,Godoy Cruz,Tigre,H
452,2013-09-21,Racing Club,Newells Old Boys,D
453,2013-09-21,Olimpo Bahia Blanca,Belgrano,D
454,2013-09-22,Rosario Central,Arsenal Sarandi,H
455,2013-09-22,Quilmes,Lanus,A
456,2013-09-22,Colon Santa FE,San Lorenzo,D
457,2013-09-22,Estudiantes L.P.,Gimnasia L.P.,D
458,2013-09-22,Argentinos Jrs,Boca Juniors,D
459,2013-09-23,River Plate,All Boys,H
460,2013-09-24,Velez Sarsfield,Atl. Rafaela,H
461,2013-09-27,Arsenal Sarandi,Godoy Cruz,H
462,2013-09-27,All Boys,Rosario Central,D
463,2013-09-28,Estudiantes L.P.,Velez Sarsfield,D
464,2013-09-28,San Lorenzo,Gimnasia L.P.,H
465,2013-09-28,Atl. Rafaela,Olimpo Bahia Blanca,H
466,2013-09-29,Newells Old Boys,Argentinos Jrs,H
467,2013-09-29,Tigre,Colon Santa FE,H
468,2013-09-29,Belgrano,Racing Club,H
469,2013-09-29,Boca Juniors,Quilmes,H
470,2013-09-30,Lanus,River Plate,H
471,2013-04-10,Argentinos Jrs,Belgrano,D
472,2013-05-10,Olimpo Bahia Blanca,Estudiantes L.P.,D
473,2013-05-10,Quilmes,Newells Old Boys,A
474,2013-06-10,San Lorenzo,Tigre,H
475,2013-06-10,River Plate,Boca Juniors,D
476,2013-07-10,Racing Club,Atl. Rafaela,H
477,2013-07-10,Colon Santa FE,Arsenal Sarandi,D
478,2013-07-10,Godoy Cruz,All Boys,H
479,2013-07-10,Gimnasia L.P.,Velez Sarsfield,D
480,2013-08-10,Rosario Central,Lanus,D
481,2013-12-10,All Boys,Colon Santa FE,H
482,2013-12-10,Atl. Rafaela,Argentinos Jrs,H
483,2013-12-10,Belgrano,Quilmes,H
484,2013-10-13,Arsenal Sarandi,San Lorenzo,D
485,2013-10-13,Estudiantes L.P.,Racing Club,H
486,2013-10-13,Velez Sarsfield,Olimpo Bahia Blanca,H
487,2013-10-13,Boca Juniors,Rosario Central,H
488,2013-10-14,Newells Old Boys,River Plate,H
489,2013-10-14,Tigre,Gimnasia L.P.,D
490,2013-10-15,Lanus,Godoy Cruz,H
491,2013-10-18,Quilmes,Atl. Rafaela,D
492,2013-10-18,Argentinos Jrs,Estudiantes L.P.,D
493,2013-10-19,Racing Club,Velez Sarsfield,A
494,2013-10-19,Colon Santa FE,Lanus,D
495,2013-10-20,San Lorenzo,All Boys,H
496,2013-10-20,Gimnasia L.P.,Olimpo Bahia Blanca,H
497,2013-10-20,Rosario Central,Newells Old Boys,D
498,2013-10-20,Tigre,Arsenal Sarandi,D
499,2013-10-20,River Plate,Belgrano,H
500,2013-10-21,Godoy Cruz,Boca Juniors,D
501,2013-10-23,Velez Sarsfield,Argentinos Jrs,H
502,2013-10-23,All Boys,Tigre,H
503,2013-10-23,Atl. Rafaela,River Plate,D
504,2013-10-24,Lanus,San Lorenzo,D
505,2013-10-25,Belgrano,Rosario Central,D
506,2013-10-25,Newells Old Boys,Godoy Cruz,H
507,2013-10-25,Boca Juniors,Colon Santa FE,H
508,2013-10-26,Arsenal Sarandi,Gimnasia L.P.,H
509,2013-10-28,Estudiantes L.P.,Quilmes,H
510,2013-10-28,Olimpo Bahia Blanca,Racing Club,H
511,2013-01-11,Arsenal Sarandi,All Boys,H
512,2013-01-11,Colon Santa FE,Newells Old Boys,A
513,2013-02-11,Argentinos Jrs,Olimpo Bahia Blanca,D
514,2013-02-11,Rosario Central,Atl. Rafaela,H
515,2013-02-11,Godoy Cruz,Belgrano,D
516,2013-02-11,Gimnasia L.P.,Racing Club,H
517,2013-03-11,Quilmes,Velez Sarsfield,D
