,Date,Home,Away,Bet
0,2012-03-08,Arsenal Sarandi,Union de Santa Fe,H
1,2012-04-08,Velez Sarsfield,Argentinos Jrs,H
2,2012-04-08,Racing Club,Atl. Rafaela,H
3,2012-04-08,Colon Santa FE,Lanus,D
4,2012-04-08,Quilmes,Boca Juniors,D
5,2012-05-08,Newells Old Boys,Independiente,H
6,2012-05-08,Godoy Cruz,All Boys,H
7,2012-05-08,San Lorenzo,San Martin S.J.,H
8,2012-05-08,River Plate,Belgrano,H
9,2012-07-08,Tigre,Estudiantes L.P.,D
10,2012-10-08,San Martin S.J.,Colon Santa FE,D
11,2012-11-08,Lanus,Newells Old Boys,D
12,2012-11-08,Estudiantes L.P.,River Plate,D
13,2012-11-08,All Boys,Quilmes,D
14,2012-11-08,Belgrano,San Lorenzo,D
15,2012-12-08,Argentinos Jrs,Racing Club,D
16,2012-12-08,Union de Santa Fe,Godoy Cruz,D
17,2012-08-13,Boca Juniors,Tigre,H
18,2012-08-13,Atl. Rafaela,Arsenal Sarandi,D
19,2012-08-14,Independiente,Velez Sarsfield,D
20,2012-08-18,Boca Juniors,All Boys,H
21,2012-08-18,Colon Santa FE,Belgrano,H
22,2012-08-19,San Lorenzo,Estudiantes L.P.,D
23,2012-08-19,Racing Club,Independiente,D
24,2012-08-19,Godoy Cruz,Atl. Rafaela,H
25,2012-08-19,Velez Sarsfield,Lanus,H
26,2012-08-19,Tigre,River Plate,D
27,2012-08-20,Quilmes,Union de Santa Fe,H
28,2012-08-20,Arsenal Sarandi,Argentinos Jrs,H
29,2012-08-20,Newells Old Boys,San Martin S.J.,H
30,2012-08-25,All Boys,Tigre,D
31,2012-08-25,Union de Santa Fe,Boca Juniors,D
32,2012-08-25,Argentinos Jrs,Godoy Cruz,D
33,2012-08-26,Independiente,Arsenal Sarandi,D
34,2012-08-26,Atl. Rafaela,Quilmes,D
35,2012-08-26,Belgrano,Newells Old Boys,D
36,2012-08-26,Lanus,Racing Club,H
37,2012-08-26,San Martin S.J.,Velez Sarsfield,D
38,2012-08-26,River Plate,San Lorenzo,H
39,2012-08-27,Estudiantes L.P.,Colon Santa FE,D
40,2012-01-09,All Boys,Union de Santa Fe,H
41,2012-01-09,Newells Old Boys,Estudiantes L.P.,H
42,2012-01-09,Arsenal Sarandi,Lanus,D
43,2012-02-09,Velez Sarsfield,Belgrano,H
44,2012-02-09,Tigre,San Lorenzo,D
45,2012-02-09,Boca Juniors,Atl. Rafaela,H
46,2012-02-09,Godoy Cruz,Independiente,H
47,2012-03-09,Colon Santa FE,River Plate,D
48,2012-03-09,Quilmes,Argentinos Jrs,H
49,2012-04-09,Racing Club,San Martin S.J.,H
50,2012-08-09,San Martin S.J.,Arsenal Sarandi,D
51,2012-08-09,Atl. Rafaela,All Boys,D
52,2012-08-09,Estudiantes L.P.,Velez Sarsfield,D
53,2012-09-09,San Lorenzo,Colon Santa FE,D
54,2012-09-09,Argentinos Jrs,Boca Juniors,D
55,2012-09-09,Belgrano,Racing Club,D
56,2012-09-09,Independiente,Quilmes,D
57,2012-10-09,River Plate,Newells Old Boys,H
58,2012-10-09,Union de Santa Fe,Tigre,D
59,2012-10-09,Lanus,Godoy Cruz,H
60,2012-09-15,Tigre,Colon Santa FE,D
61,2012-09-15,All Boys,Argentinos Jrs,D
62,2012-09-15,Godoy Cruz,San Martin S.J.,H
63,2012-09-16,Racing Club,Estudiantes L.P.,D
64,2012-09-16,Boca Juniors,Independiente,H
65,2012-09-16,Newells Old Boys,San Lorenzo,H
66,2012-09-16,Arsenal Sarandi,Belgrano,D
67,2012-09-17,Velez Sarsfield,River Plate,H
68,2012-09-17,Union de Santa Fe,Atl. Rafaela,D
69,2012-09-18,Quilmes,Lanus,D
70,2012-09-21,Belgrano,Godoy Cruz,D
71,2012-09-22,Atl. Rafaela,Tigre,D
72,2012-09-22,Argentinos Jrs,Union de Santa Fe,H
73,2012-09-22,San Lorenzo,Velez Sarsfield,D
74,2012-09-23,Independiente,All Boys,D
75,2012-09-23,River Plate,Racing Club,H
76,2012-09-23,Colon Santa FE,Newells Old Boys,D
77,2012-09-23,San Martin S.J.,Quilmes,D
78,2012-09-23,Lanus,Boca Juniors,D
79,2012-09-24,Estudiantes L.P.,Arsenal Sarandi,H
80,2012-09-28,Quilmes,Belgrano,D
81,2012-09-29,All Boys,Lanus,D
82,2012-09-29,Godoy Cruz,Estudiantes L.P.,D
83,2012-09-29,Atl. Rafaela,Argentinos Jrs,D
84,2012-09-30,Racing Club,San Lorenzo,D
85,2012-09-30,Arsenal Sarandi,River Plate,D
