,Date,Home,Away
558,2013-01-12,San Lorenzo,Estudiantes L.P.
559,2013-01-12,Lanus,Boca Juniors
560,2013-02-12,River Plate,Argentinos Jrs
561,2013-06-12,Belgrano,All Boys
562,2013-06-12,Racing Club,Godoy Cruz
563,2013-07-12,Argentinos Jrs,Rosario Central
564,2013-07-12,Atl. Rafaela,Arsenal Sarandi
565,2013-08-12,Estudiantes L.P.,Tigre
566,2013-08-12,Boca Juniors,Gimnasia L.P.
567,2013-09-12,Quilmes,River Plate
568,2013-09-12,Olimpo Bahia Blanca,Colon Santa FE
569,2013-12-15,Newells Old Boys,Lanus
570,2013-12-15,Velez Sarsfield,San Lorenzo
571,2014-07-02,Estudiantes L.P.,Arsenal Sarandi
572,2014-07-02,Velez Sarsfield,Tigre
573,2014-08-02,Olimpo Bahia Blanca,San Lorenzo
574,2014-08-02,Argentinos Jrs,Godoy Cruz
575,2014-08-02,Atl. Rafaela,All Boys
576,2014-08-02,Racing Club,Colon Santa FE
577,2014-09-02,Quilmes,Rosario Central
578,2014-09-02,Newells Old Boys,Boca Juniors
579,2014-10-02,River Plate,Gimnasia L.P.
580,2014-11-02,Belgrano,Lanus
581,2014-02-14,Godoy Cruz,Quilmes
582,2014-02-15,All Boys,Estudiantes L.P.
583,2014-02-15,Arsenal Sarandi,Velez Sarsfield
584,2014-02-15,Tigre,Olimpo Bahia Blanca
585,2014-02-15,San Lorenzo,Racing Club
586,2014-02-16,Colon Santa FE,Argentinos Jrs
587,2014-02-16,Gimnasia L.P.,Newells Old Boys
588,2014-02-16,Lanus,Atl. Rafaela
589,2014-02-16,Rosario Central,River Plate
590,2014-02-17,Boca Juniors,Belgrano
591,2014-02-18,Olimpo Bahia Blanca,Arsenal Sarandi
592,2014-02-18,Velez Sarsfield,All Boys
593,2014-02-19,Racing Club,Tigre
594,2014-02-19,Quilmes,Colon Santa FE
595,2014-02-19,Argentinos Jrs,San Lorenzo
596,2014-02-19,Estudiantes L.P.,Lanus
597,2014-02-20,River Plate,Godoy Cruz
598,2014-02-20,Belgrano,Newells Old Boys
599,2014-02-20,Rosario Central,Gimnasia L.P.
600,2014-02-21,Atl. Rafaela,Boca Juniors
601,2014-02-22,Lanus,Velez Sarsfield
602,2014-02-22,All Boys,Olimpo Bahia Blanca
603,2014-02-22,Arsenal Sarandi,Racing Club
604,2014-02-23,Newells Old Boys,Atl. Rafaela
605,2014-02-23,San Lorenzo,Quilmes
606,2014-02-23,Boca Juniors,Estudiantes L.P.
607,2014-02-24,Colon Santa FE,River Plate
608,2014-02-24,Godoy Cruz,Rosario Central
609,2014-02-24,Tigre,Argentinos Jrs
610,2014-02-25,Gimnasia L.P.,Belgrano
611,2014-02-28,Godoy Cruz,Gimnasia L.P.
612,2014-02-28,Racing Club,All Boys
613,2014-01-03,Velez Sarsfield,Boca Juniors
614,2014-01-03,Atl. Rafaela,Belgrano
615,2014-01-03,Argentinos Jrs,Arsenal Sarandi
616,2014-01-03,Rosario Central,Colon Santa FE
617,2014-02-03,Olimpo Bahia Blanca,Lanus
618,2014-02-03,Quilmes,Tigre
619,2014-02-03,River Plate,San Lorenzo
620,2014-03-03,Estudiantes L.P.,Newells Old Boys
621,2014-04-03,Colon Santa FE,Godoy Cruz
622,2014-04-03,Gimnasia L.P.,Atl. Rafaela
623,2014-05-03,All Boys,Argentinos Jrs
624,2014-05-03,Belgrano,Estudiantes L.P.
625,2014-05-03,Lanus,Racing Club
626,2014-05-03,Boca Juniors,Olimpo Bahia Blanca
627,2014-06-03,Newells Old Boys,Velez Sarsfield
628,2014-06-03,Arsenal Sarandi,Quilmes
629,2014-06-03,San Lorenzo,Rosario Central
630,2014-07-03,Tigre,River Plate
631,2014-08-03,Argentinos Jrs,Lanus
632,2014-08-03,Colon Santa FE,Gimnasia L.P.
633,2014-08-03,Estudiantes L.P.,Atl. Rafaela
634,2014-09-03,Velez Sarsfield,Belgrano
635,2014-09-03,Godoy Cruz,San Lorenzo
636,2014-09-03,Olimpo Bahia Blanca,Newells Old Boys
637,2014-09-03,River Plate,Arsenal Sarandi
638,2014-10-03,Racing Club,Boca Juniors
639,2014-10-03,Quilmes,All Boys
640,2014-11-03,Rosario Central,Tigre
641,2014-03-14,Atl. Rafaela,Velez Sarsfield
642,2014-03-15,Tigre,Godoy Cruz
643,2014-03-15,Belgrano,Olimpo Bahia Blanca
644,2014-03-15,San Lorenzo,Colon Santa FE
645,2014-03-16,Gimnasia L.P.,Estudiantes L.P.
646,2014-03-16,Arsenal Sarandi,Rosario Central
647,2014-03-16,Newells Old Boys,Racing Club
648,2014-03-16,Boca Juniors,Argentinos Jrs
649,2014-03-17,All Boys,River Plate
650,2014-03-17,Lanus,Quilmes
651,2014-03-21,Olimpo Bahia Blanca,Atl. Rafaela
652,2014-03-21,Colon Santa FE,Tigre
653,2014-03-22,Racing Club,Belgrano
654,2014-03-22,Argentinos Jrs,Newells Old Boys
655,2014-03-22,Rosario Central,All Boys
656,2014-03-22,Velez Sarsfield,Estudiantes L.P.
657,2014-03-23,Godoy Cruz,Arsenal Sarandi
658,2014-03-23,Gimnasia L.P.,San Lorenzo
659,2014-03-23,River Plate,Lanus
660,2014-03-24,Quilmes,Boca Juniors
661,2014-03-28,All Boys,Godoy Cruz
662,2014-03-28,Estudiantes L.P.,Olimpo Bahia Blanca
663,2014-03-29,Belgrano,Argentinos Jrs
664,2014-03-29,Velez Sarsfield,Gimnasia L.P.
665,2014-03-29,Newells Old Boys,Quilmes
666,2014-03-29,Atl. Rafaela,Racing Club
667,2014-03-30,Lanus,Rosario Central
668,2014-03-30,Arsenal Sarandi,Colon Santa FE
669,2014-03-30,Boca Juniors,River Plate
670,2014-03-31,Tigre,San Lorenzo
671,2014-01-04,Quilmes,Belgrano
672,2014-01-04,Olimpo Bahia Blanca,Velez Sarsfield
673,2014-01-04,Argentinos Jrs,Atl. Rafaela
674,2014-02-04,Racing Club,Estudiantes L.P.
675,2014-02-04,Godoy Cruz,Lanus
676,2014-02-04,Colon Santa FE,All Boys
677,2014-02-04,Rosario Central,Boca Juniors
678,2014-03-04,River Plate,Newells Old Boys
679,2014-03-04,Gimnasia L.P.,Tigre
680,2014-04-04,San Lorenzo,Arsenal Sarandi
681,2014-05-04,Lanus,Colon Santa FE
682,2014-06-04,Velez Sarsfield,Racing Club
683,2014-06-04,Newells Old Boys,Rosario Central
684,2014-06-04,Atl. Rafaela,Quilmes
685,2014-06-04,All Boys,San Lorenzo
686,2014-06-04,Arsenal Sarandi,Tigre
687,2014-06-04,Boca Juniors,Godoy Cruz
688,2014-07-04,Belgrano,River Plate
689,2014-08-04,Estudiantes L.P.,Argentinos Jrs
690,2014-08-04,Olimpo Bahia Blanca,Gimnasia L.P.
691,2014-11-04,Tigre,All Boys
692,2014-12-04,Rosario Central,Belgrano
693,2014-12-04,Quilmes,Estudiantes L.P.
694,2014-12-04,Argentinos Jrs,Velez Sarsfield
695,2014-12-04,Racing Club,Olimpo Bahia Blanca
696,2014-04-13,San Lorenzo,Lanus
697,2014-04-13,Gimnasia L.P.,Arsenal Sarandi
698,2014-04-13,Godoy Cruz,Newells Old Boys
699,2014-04-13,River Plate,Atl. Rafaela
700,2014-04-14,Colon Santa FE,Boca Juniors
701,2014-04-15,Olimpo Bahia Blanca,Argentinos Jrs
702,2014-04-15,Velez Sarsfield,Quilmes
703,2014-04-16,Atl. Rafaela,Rosario Central
704,2014-04-16,Estudiantes L.P.,River Plate
705,2014-04-16,Newells Old Boys,Colon Santa FE
706,2014-04-17,Boca Juniors,San Lorenzo
707,2014-04-17,All Boys,Arsenal Sarandi
708,2014-04-17,Belgrano,Godoy Cruz
709,2014-04-18,Racing Club,Gimnasia L.P.
710,2014-04-19,Rosario Central,Estudiantes L.P.
711,2014-04-19,Quilmes,Olimpo Bahia Blanca
712,2014-04-20,San Lorenzo,Newells Old Boys
713,2014-04-20,Colon Santa FE,Belgrano
714,2014-04-20,Argentinos Jrs,Racing Club
715,2014-04-20,Arsenal Sarandi,Lanus
716,2014-04-20,River Plate,Velez Sarsfield
717,2014-04-21,Tigre,Boca Juniors
718,2014-04-21,Godoy Cruz,Atl. Rafaela
719,2014-04-21,Gimnasia L.P.,All Boys
720,2014-04-25,Newells Old Boys,Tigre
721,2014-04-26,Belgrano,San Lorenzo
722,2014-04-26,Atl. Rafaela,Colon Santa FE
723,2014-04-26,Argentinos Jrs,Gimnasia L.P.
724,2014-04-26,Velez Sarsfield,Rosario Central
725,2014-04-27,Racing Club,Quilmes
726,2014-04-27,Estudiantes L.P.,Godoy Cruz
727,2014-04-27,Lanus,All Boys
728,2014-04-27,Boca Juniors,Arsenal Sarandi
729,2014-04-28,Olimpo Bahia Blanca,River Plate
730,2014-01-05,Lanus,Tigre
731,2014-03-05,Quilmes,Argentinos Jrs
732,2014-03-05,Colon Santa FE,Estudiantes L.P.
733,2014-03-05,Rosario Central,Olimpo Bahia Blanca
734,2014-03-05,Godoy Cruz,Velez Sarsfield
735,2014-04-05,San Lorenzo,Atl. Rafaela
736,2014-04-05,Arsenal Sarandi,Newells Old Boys
737,2014-04-05,Gimnasia L.P.,Lanus
738,2014-04-05,River Plate,Racing Club
739,2014-05-05,All Boys,Boca Juniors
740,2014-06-05,Tigre,Belgrano
741,2014-09-05,Olimpo Bahia Blanca,Godoy Cruz
742,2014-10-05,Estudiantes L.P.,San Lorenzo
743,2014-10-05,Newells Old Boys,All Boys
744,2014-10-05,Atl. Rafaela,Tigre
745,2014-10-05,Velez Sarsfield,Colon Santa FE
746,2014-11-05,Racing Club,Rosario Central
747,2014-11-05,Belgrano,Arsenal Sarandi
748,2014-11-05,Quilmes,Gimnasia L.P.
749,2014-11-05,Boca Juniors,Lanus
750,2014-12-05,Argentinos Jrs,River Plate
751,2014-05-17,All Boys,Belgrano
752,2014-05-18,Rosario Central,Argentinos Jrs
753,2014-05-18,Arsenal Sarandi,Atl. Rafaela
754,2014-05-18,Colon Santa FE,Olimpo Bahia Blanca
755,2014-05-18,Godoy Cruz,Racing Club
756,2014-05-18,Gimnasia L.P.,Boca Juniors
757,2014-05-18,River Plate,Quilmes
758,2014-05-18,Tigre,Estudiantes L.P.
759,2014-05-19,Lanus,Newells Old Boys
760,2014-05-20,San Lorenzo,Velez Sarsfield
761,2014-05-24,Colon Santa FE,Atl. Rafaela
762,2014-05-25,San Lorenzo,River Plate
763,2015-01-29,Boca Juniors,Velez Sarsfield
764,2014-08-08,Godoy Cruz,Banfield
765,2014-09-08,Rosario Central,Quilmes
766,2014-10-08,Defensa y Justicia,Racing Club
767,2014-10-08,Independiente,Atl. Rafaela
768,2014-10-08,Boca Juniors,Newells Old Boys
769,2014-11-08,Gimnasia L.P.,River Plate
770,2014-11-08,Arsenal Sarandi,Estudiantes L.P.
771,2014-12-08,Tigre,Velez Sarsfield
772,2014-08-13,Lanus,Belgrano
773,2014-08-16,Newells Old Boys,Gimnasia L.P.
774,2014-08-16,Olimpo Bahia Blanca,Tigre
775,2014-08-16,Banfield,Defensa y Justicia
776,2014-08-16,Velez Sarsfield,Arsenal Sarandi
777,2014-08-17,Estudiantes L.P.,Independiente
778,2014-08-17,Racing Club,San Lorenzo
779,2014-08-17,River Plate,Rosario Central
780,2014-08-18,Belgrano,Boca Juniors
781,2014-08-18,Quilmes,Godoy Cruz
782,2014-08-19,Atl. Rafaela,Lanus
783,2014-08-22,Arsenal Sarandi,Olimpo Bahia Blanca
784,2014-08-23,Tigre,Racing Club
785,2014-08-23,Gimnasia L.P.,Rosario Central
786,2014-08-23,Newells Old Boys,Belgrano
787,2014-08-24,Independiente,Velez Sarsfield
788,2014-08-24,San Lorenzo,Banfield
789,2014-08-24,Lanus,Estudiantes L.P.
790,2014-08-24,Defensa y Justicia,Quilmes
791,2014-08-24,Boca Juniors,Atl. Rafaela
792,2014-08-25,Godoy Cruz,River Plate
793,2014-08-26,Belgrano,Gimnasia L.P.
794,2014-08-26,Olimpo Bahia Blanca,Independiente
795,2014-08-27,Racing Club,Arsenal Sarandi
796,2014-08-27,Atl. Rafaela,Newells Old Boys
797,2014-08-27,Rosario Central,Godoy Cruz
798,2014-08-27,River Plate,Defensa y Justicia
799,2014-08-28,Estudiantes L.P.,Boca Juniors
800,2014-08-28,Banfield,Tigre
801,2014-08-28,Velez Sarsfield,Lanus
802,2014-08-29,Quilmes,San Lorenzo
803,2014-08-30,Gimnasia L.P.,Godoy Cruz
804,2014-08-30,Defensa y Justicia,Rosario Central
805,2014-08-31,Newells Old Boys,Estudiantes L.P.
806,2014-08-31,Belgrano,Atl. Rafaela
807,2014-08-31,Independiente,Racing Club
808,2014-08-31,Boca Juniors,Velez Sarsfield
809,2014-01-09,San Lorenzo,River Plate
810,2014-01-09,Lanus,Olimpo Bahia Blanca
811,2014-01-09,Arsenal Sarandi,Banfield
812,2014-02-09,Tigre,Quilmes
813,2014-06-09,Atl. Rafaela,Gimnasia L.P.
814,2014-06-09,Velez Sarsfield,Newells Old Boys
815,2014-06-09,Estudiantes L.P.,Belgrano
816,2014-07-09,Banfield,Independiente
817,2014-07-09,Rosario Central,San Lorenzo
818,2014-07-09,Godoy Cruz,Defensa y Justicia
819,2014-07-09,Racing Club,Lanus
820,2014-07-09,River Plate,Tigre
821,2014-08-09,Olimpo Bahia Blanca,Boca Juniors
822,2014-09-09,Quilmes,Arsenal Sarandi
823,2014-09-13,Gimnasia L.P.,Defensa y Justicia
824,2014-09-13,San Lorenzo,Godoy Cruz
825,2014-09-13,Tigre,Rosario Central
826,2014-09-13,Atl. Rafaela,Estudiantes L.P.
827,2014-09-14,Independiente,Quilmes
828,2014-09-14,Lanus,Banfield
829,2014-09-14,Belgrano,Velez Sarsfield
830,2014-09-16,Newells Old Boys,Olimpo Bahia Blanca
831,2014-09-20,Quilmes,Lanus
832,2014-09-20,Estudiantes L.P.,Gimnasia L.P.
833,2014-09-20,Olimpo Bahia Blanca,Belgrano
834,2014-09-21,Velez Sarsfield,Atl. Rafaela
835,2014-09-21,Rosario Central,Arsenal Sarandi
836,2014-09-21,Banfield,Boca Juniors
837,2014-09-22,River Plate,Independiente
838,2014-09-22,Defensa y Justicia,San Lorenzo
839,2014-09-23,Racing Club,Newells Old Boys
840,2014-09-25,Boca Juniors,Racing Club
841,2014-09-25,Arsenal Sarandi,River Plate
842,2014-09-26,Estudiantes L.P.,Velez Sarsfield
843,2014-09-27,Atl. Rafaela,Olimpo Bahia Blanca
844,2014-09-27,Independiente,Rosario Central
845,2014-09-28,San Lorenzo,Gimnasia L.P.
846,2014-09-28,Tigre,Defensa y Justicia
847,2014-09-28,Belgrano,Racing Club
848,2014-09-28,Boca Juniors,Quilmes
849,2014-09-29,Lanus,River Plate
850,2014-09-29,Arsenal Sarandi,Godoy Cruz
851,2014-09-30,Newells Old Boys,Banfield
852,2014-01-10,San Lorenzo,Olimpo Bahia Blanca
853,2014-04-10,Gimnasia L.P.,Velez Sarsfield
854,2014-04-10,Banfield,Belgrano
855,2014-04-10,San Lorenzo,Tigre
856,2014-04-10,Defensa y Justicia,Arsenal Sarandi
857,2014-05-10,Olimpo Bahia Blanca,Estudiantes L.P.
858,2014-05-10,Quilmes,Newells Old Boys
859,2014-05-10,River Plate,Boca Juniors
860,2014-06-10,Racing Club,Atl. Rafaela
861,2014-06-10,Rosario Central,Lanus
862,2014-07-10,Godoy Cruz,Independiente
863,2014-10-10,Tigre,Gimnasia L.P.
864,2014-11-10,Lanus,Godoy Cruz
865,2014-11-10,Velez Sarsfield,Olimpo Bahia Blanca
866,2014-11-10,Belgrano,Quilmes
867,2014-12-10,Estudiantes L.P.,Racing Club
868,2014-12-10,Atl. Rafaela,Banfield
869,2014-12-10,Independiente,Defensa y Justicia
870,2014-12-10,Boca Juniors,Rosario Central
871,2014-10-13,Newells Old Boys,River Plate
872,2014-10-14,Arsenal Sarandi,San Lorenzo
873,2014-10-15,Godoy Cruz,Tigre
874,2014-10-17,Gimnasia L.P.,Olimpo Bahia Blanca
875,2014-10-18,Quilmes,Atl. Rafaela
876,2014-10-18,Banfield,Estudiantes L.P.
877,2014-10-18,San Lorenzo,Independiente
878,2014-10-19,Defensa y Justicia,Lanus
879,2014-10-19,Rosario Central,Newells Old Boys
880,2014-10-19,Racing Club,Velez Sarsfield
881,2014-10-19,River Plate,Belgrano
882,2014-10-20,Godoy Cruz,Boca Juniors
883,2014-10-21,Tigre,Arsenal Sarandi
884,2014-10-25,Belgrano,Rosario Central
885,2014-10-25,Independiente,Tigre
886,2014-10-25,Velez Sarsfield,Banfield
887,2014-10-25,Newells Old Boys,Godoy Cruz
888,2014-10-26,Olimpo Bahia Blanca,Racing Club
889,2014-10-26,Estudiantes L.P.,Quilmes
890,2014-10-26,Lanus,San Lorenzo
891,2014-10-26,Boca Juniors,Defensa y Justicia
892,2014-10-27,Atl. Rafaela,River Plate
893,2014-10-27,Arsenal Sarandi,Gimnasia L.P.
894,2014-10-31,Banfield,Olimpo Bahia Blanca
895,2014-01-11,Godoy Cruz,Belgrano
896,2014-01-11,Gimnasia L.P.,Racing Club
897,2014-01-11,Quilmes,Velez Sarsfield
898,2014-01-11,Rosario Central,Atl. Rafaela
899,2014-02-11,San Lorenzo,Boca Juniors
900,2014-07-11,Lanus,Arsenal Sarandi
901,2014-08-11,Atl. Rafaela,Godoy Cruz
902,2014-08-11,Olimpo Bahia Blanca,Quilmes
903,2014-08-11,Belgrano,Defensa y Justicia
904,2014-08-11,Independiente,Gimnasia L.P.
905,2014-09-11,Estudiantes L.P.,Rosario Central
906,2014-09-11,Racing Club,Banfield
907,2014-09-11,Boca Juniors,Tigre
908,2014-10-11,Velez Sarsfield,River Plate
909,2014-10-11,Newells Old Boys,San Lorenzo
910,2014-12-11,Tigre,Lanus
911,2014-12-11,River Plate,Estudiantes L.P.
912,2014-11-13,Arsenal Sarandi,Independiente
913,2014-11-14,Defensa y Justicia,Atl. Rafaela
914,2014-11-15,Rosario Central,Velez Sarsfield
915,2014-11-15,Gimnasia L.P.,Banfield
916,2014-11-15,San Lorenzo,Belgrano
917,2014-11-15,Quilmes,Racing Club
918,2014-11-16,Godoy Cruz,Estudiantes L.P.
919,2014-11-16,Tigre,Newells Old Boys
920,2014-11-16,River Plate,Olimpo Bahia Blanca
921,2014-11-17,Arsenal Sarandi,Boca Juniors
922,2014-11-17,Independiente,Lanus
923,2014-11-20,Defensa y Justicia,Newells Old Boys
924,2014-11-21,Banfield,Quilmes
925,2014-11-22,Atl. Rafaela,San Lorenzo
926,2014-11-22,Olimpo Bahia Blanca,Rosario Central
927,2014-11-22,Velez Sarsfield,Godoy Cruz
928,2014-11-22,Lanus,Gimnasia L.P.
929,2014-11-23,Belgrano,Tigre
930,2014-11-23,Estudiantes L.P.,Defensa y Justicia
931,2014-11-23,Boca Juniors,Independiente
932,2014-11-24,Racing Club,River Plate
933,2014-11-25,Newells Old Boys,Arsenal Sarandi
934,2014-11-28,Gimnasia L.P.,Quilmes
935,2014-11-28,Defensa y Justicia,Velez Sarsfield
936,2014-11-29,San Lorenzo,Estudiantes L.P.
937,2014-11-30,Independiente,Newells Old Boys
938,2014-11-30,Rosario Central,Racing Club
939,2014-11-30,Tigre,Atl. Rafaela
940,2014-11-30,River Plate,Banfield
941,2014-01-12,Lanus,Boca Juniors
942,2014-01-12,Godoy Cruz,Olimpo Bahia Blanca
943,2014-01-12,Arsenal Sarandi,Belgrano
944,2014-05-12,Estudiantes L.P.,Tigre
945,2014-05-12,Velez Sarsfield,San Lorenzo
946,2014-06-12,Atl. Rafaela,Arsenal Sarandi
947,2014-06-12,Banfield,Rosario Central
948,2014-06-12,Olimpo Bahia Blanca,Defensa y Justicia
949,2014-07-12,Belgrano,Independiente
950,2014-07-12,Newells Old Boys,Lanus
951,2014-07-12,Boca Juniors,Gimnasia L.P.
952,2014-12-14,Quilmes,River Plate
953,2014-12-14,Racing Club,Godoy Cruz
954,2015-02-13,Velez Sarsfield,Aldosivi
955,2015-02-14,Racing Club,Rosario Central
956,2015-02-14,Gimnasia L.P.,Defensa y Justicia
957,2015-02-14,San Lorenzo,Colon Santa FE
958,2015-02-14,Godoy Cruz,San Martin S.J.
959,2015-02-14,Newells Old Boys,Independiente
960,2015-02-14,Banfield,Temperley
961,2015-02-15,Crucero del Norte,Tigre
962,2015-02-15,Quilmes,Lanus
963,2015-02-15,Union de Santa Fe,Huracan
964,2015-02-15,Boca Juniors,Olimpo Bahia Blanca
965,2015-02-15,Argentinos Jrs,Atl. Rafaela
966,2015-02-16,Sarmiento Junin,River Plate
967,2015-02-16,Arsenal Sarandi,Estudiantes L.P.
968,2015-02-17,Belgrano,Nueva Chicago
969,2015-02-21,Atl. Rafaela,Banfield
970,2015-02-21,Huracan,Arsenal Sarandi
971,2015-02-21,Estudiantes L.P.,Godoy Cruz
972,2015-02-21,Rosario Central,Tigre
973,2015-02-21,Olimpo Bahia Blanca,Racing Club
974,2015-02-21,Velez Sarsfield,Crucero del Norte
975,2015-02-22,San Martin S.J.,Gimnasia L.P.
976,2015-02-22,Aldosivi,Newells Old Boys
977,2015-02-22,Independiente,Sarmiento Junin
978,2015-02-22,Nueva Chicago,Union de Santa Fe
979,2015-02-22,River Plate,Quilmes
980,2015-02-22,Colon Santa FE,Argentinos Jrs
981,2015-02-23,Temperley,Boca Juniors
982,2015-02-23,Lanus,Belgrano
983,2015-02-24,Defensa y Justicia,San Lorenzo
984,2015-02-27,Arsenal Sarandi,Nueva Chicago
985,2015-02-28,Godoy Cruz,Huracan
986,2015-02-28,Tigre,Olimpo Bahia Blanca
987,2015-02-28,Crucero del Norte,Rosario Central
988,2015-02-28,Union de Santa Fe,Lanus
989,2015-02-28,Quilmes,Independiente
990,2015-02-28,San Lorenzo,San Martin S.J.
991,2015-01-03,Gimnasia L.P.,Estudiantes L.P.
992,2015-01-03,Boca Juniors,Atl. Rafaela
993,2015-01-03,Argentinos Jrs,Defensa y Justicia
994,2015-01-03,Racing Club,Temperley
995,2015-02-03,Belgrano,River Plate
996,2015-02-03,Sarmiento Junin,Aldosivi
997,2015-02-03,Banfield,Colon Santa FE
998,2015-03-03,Newells Old Boys,Velez Sarsfield
999,2015-06-03,Huracan,Gimnasia L.P.
1000,2015-07-03,Atl. Rafaela,Racing Club
1001,2015-07-03,Nueva Chicago,Godoy Cruz
1002,2015-07-03,Olimpo Bahia Blanca,Rosario Central
1003,2015-07-03,Aldosivi,Quilmes
1004,2015-07-03,Independiente,Belgrano
1005,2015-07-03,Newells Old Boys,Crucero del Norte
1006,2015-08-03,Defensa y Justicia,Banfield
1007,2015-08-03,Lanus,Arsenal Sarandi
1008,2015-08-03,Velez Sarsfield,Sarmiento Junin
1009,2015-08-03,River Plate,Union de Santa Fe
1010,2015-08-03,San Martin S.J.,Argentinos Jrs
1011,2015-09-03,Colon Santa FE,Boca Juniors
1012,2015-09-03,Temperley,Tigre
1013,2015-10-03,Estudiantes L.P.,San Lorenzo
1014,2015-03-13,Crucero del Norte,Olimpo Bahia Blanca
1015,2015-03-14,Racing Club,Colon Santa FE
1016,2015-03-14,Banfield,San Martin S.J.
1017,2015-03-14,Boca Juniors,Defensa y Justicia
1018,2015-03-14,Union de Santa Fe,Independiente
1019,2015-03-14,Sarmiento Junin,Newells Old Boys
1020,2015-03-15,Quilmes,Velez Sarsfield
1021,2015-03-15,Argentinos Jrs,Estudiantes L.P.
1022,2015-03-15,San Lorenzo,Huracan
1023,2015-03-15,Tigre,Atl. Rafaela
1024,2015-03-16,Godoy Cruz,Lanus
1025,2015-03-16,Rosario Central,Temperley
1026,2015-03-16,Belgrano,Aldosivi
1027,2015-03-17,Arsenal Sarandi,River Plate
1028,2015-03-17,Gimnasia L.P.,Nueva Chicago
1029,2015-03-20,Newells Old Boys,Quilmes
1030,2015-03-21,Lanus,Gimnasia L.P.
1031,2015-03-21,Colon Santa FE,Tigre
1032,2015-03-21,Velez Sarsfield,Belgrano
1033,2015-03-21,Independiente,Arsenal Sarandi
1034,2015-03-21,Huracan,Argentinos Jrs
1035,2015-03-21,Sarmiento Junin,Crucero del Norte
1036,2015-03-22,Atl. Rafaela,Rosario Central
1037,2015-03-22,Defensa y Justicia,Racing Club
1038,2015-03-22,Estudiantes L.P.,Banfield
1039,2015-03-22,River Plate,Godoy Cruz
1040,2015-03-23,San Martin S.J.,Boca Juniors
1041,2015-03-23,Nueva Chicago,San Lorenzo
1042,2015-03-23,Aldosivi,Union de Santa Fe
1043,2015-03-24,Temperley,Olimpo Bahia Blanca
1044,2015-03-27,Quilmes,Sarmiento Junin
1045,2015-03-28,Rosario Central,Colon Santa FE
1046,2015-03-28,Olimpo Bahia Blanca,Atl. Rafaela
1047,2015-03-28,Banfield,Huracan
1048,2015-03-28,Godoy Cruz,Independiente
1049,2015-03-28,San Lorenzo,Lanus
1050,2015-03-29,Crucero del Norte,Temperley
1051,2015-03-29,Belgrano,Newells Old Boys
1052,2015-03-29,Racing Club,San Martin S.J.
1053,2015-03-29,Boca Juniors,Estudiantes L.P.
1054,2015-03-29,Union de Santa Fe,Velez Sarsfield
1055,2015-03-30,Gimnasia L.P.,River Plate
1056,2015-03-31,Argentinos Jrs,Nueva Chicago
1057,2015-03-31,Tigre,Defensa y Justicia
1058,2015-03-04,Sarmiento Junin,Belgrano
1059,2015-04-04,Estudiantes L.P.,Racing Club
1060,2015-04-04,Atl. Rafaela,Temperley
1061,2015-04-04,Defensa y Justicia,Rosario Central
1062,2015-04-04,Aldosivi,Godoy Cruz
1063,2015-05-04,Independiente,Gimnasia L.P.
1064,2015-05-04,Velez Sarsfield,Arsenal Sarandi
1065,2015-05-04,River Plate,San Lorenzo
1066,2015-05-04,Lanus,Argentinos Jrs
1067,2015-05-04,Colon Santa FE,Olimpo Bahia Blanca
1068,2015-05-04,Huracan,Boca Juniors
1069,2015-06-04,Quilmes,Crucero del Norte
1070,2015-06-04,San Martin S.J.,Tigre
1071,2015-06-04,Nueva Chicago,Banfield
1072,2015-07-04,Newells Old Boys,Union de Santa Fe
1073,2015-10-04,Crucero del Norte,Atl. Rafaela
1074,2015-11-04,Temperley,Colon Santa FE
1075,2015-11-04,Godoy Cruz,Velez Sarsfield
1076,2015-11-04,Gimnasia L.P.,Aldosivi
1077,2015-11-04,Rosario Central,San Martin S.J.
1078,2015-12-04,Racing Club,Huracan
1079,2015-12-04,San Lorenzo,Independiente
1080,2015-12-04,Banfield,Lanus
1081,2015-12-04,Olimpo Bahia Blanca,Defensa y Justicia
1082,2015-12-04,Union de Santa Fe,Sarmiento Junin
1083,2015-12-04,Boca Juniors,Nueva Chicago
1084,2015-04-13,Argentinos Jrs,River Plate
1085,2015-04-13,Arsenal Sarandi,Newells Old Boys
1086,2015-04-14,Tigre,Estudiantes L.P.
1087,2015-04-14,Belgrano,Quilmes
1088,2015-04-18,Estudiantes L.P.,Rosario Central
1089,2015-04-18,Sarmiento Junin,Arsenal Sarandi
1090,2015-04-18,Huracan,Tigre
1091,2015-04-18,Defensa y Justicia,Temperley
1092,2015-04-19,Independiente,Argentinos Jrs
1093,2015-04-19,Velez Sarsfield,Gimnasia L.P.
1094,2015-04-19,Belgrano,Crucero del Norte
1095,2015-04-19,Nueva Chicago,Racing Club
1096,2015-04-19,Aldosivi,San Lorenzo
1097,2015-04-19,River Plate,Banfield
1098,2015-04-19,San Martin S.J.,Olimpo Bahia Blanca
1099,2015-04-20,Lanus,Boca Juniors
1100,2015-04-21,Quilmes,Union de Santa Fe
1101,2015-04-21,Colon Santa FE,Atl. Rafaela
1102,2015-04-22,Newells Old Boys,Godoy Cruz
1103,2015-04-25,Arsenal Sarandi,Aldosivi
1104,2015-04-30,Godoy Cruz,Sarmiento Junin
1105,2015-02-05,Olimpo Bahia Blanca,Estudiantes L.P.
